time,signal
0,-2.38E-05
0.00400160064,-0.040495
0.008003201281,-0.033426
0.01200480192,-0.012227
0.01600640256,-0.0077248
0.0200080032,-0.0068992
0.02400960384,-0.0010339
0.02801120448,0.004888
0.03201280512,0.0067888
0.03601440576,0.0064343
0.0400160064,0.0080032
0.04401760704,0.0073437
0.04801920768,0.0002312
0.05202080832,-0.0054448
0.05602240896,-0.0043631
0.0600240096,-0.0019605
0.06402561024,0.00078097
0.06802721088,0.0054101
0.07202881152,0.0053085
0.07603041216,-0.00020103
0.08003201281,-0.0036353
0.08403361345,-0.0039904
0.08803521409,-0.0021448
0.09203681473,0.00067305
0.09603841537,0.00048049
0.100040016,8.39E-05
0.1040416166,0.0022441
0.1080432173,0.0018705
0.1120448179,-0.0018505
0.1160464186,-0.0036233
0.1200480192,-0.00027645
0.1240496198,0.0035653
0.1280512205,0.00084694
0.1320528211,-0.002605
0.1360544218,0.001541
0.1400560224,0.0058915
0.144057623,0.0014458
0.1480592237,-0.0051772
0.1520608243,-0.0037233
0.156062425,0.00026853
0.1600640256,-0.0020554
0.1640656263,-0.0024552
0.1680672269,0.003807
0.1720688275,0.0034458
0.1760704282,-0.0044592
0.1800720288,-0.0044705
0.1840736295,0.0033733
0.1880752301,0.0074023
0.1920768307,0.0053697
0.1960784314,0.00070149
0.200080032,-0.0022812
0.2040816327,-0.0018325
0.2080832333,-0.0035501
0.2120848339,-0.0060575
0.2160864346,-0.0015743
0.2200880352,0.0024223
0.2240896359,-0.00069953
0.2280912365,-0.00050348
0.2320928371,0.0039007
0.2360944378,0.0040393
0.2400960384,0.0022228
0.2440976391,-0.00094381
0.2480992397,-0.0068278
0.2521008403,-0.0071563
0.256102441,7.28E-05
0.2601040416,0.0059674
0.2641056423,0.0072134
0.2681072429,0.0053295
0.2721088435,0.0010633
0.2761104442,-0.0018693
0.2801120448,-0.0032056
0.2841136455,-0.0061298
0.2881152461,-0.0052606
0.2921168467,0.0016486
0.2961184474,0.0034758
0.300120048,-0.0027637
0.3041216487,-0.0036838
0.3081232493,0.0041865
0.3121248499,0.0058953
0.3161264506,-0.00073936
0.3201280512,-0.00061289
0.3241296519,0.004807
0.3281312525,0.0011664
0.3321328531,-0.0067315
0.3361344538,-0.004238
0.3401360544,0.0031438
0.3441376551,0.002037
0.3481392557,-0.0018524
0.3521408563,-0.00058869
0.356142457,-0.0010434
0.3601440576,-0.00268
0.3641456583,0.0022154
0.3681472589,0.0061409
0.3721488595,0.0017582
0.3761504602,-0.0026965
0.3801520608,-0.0015558
0.3841536615,0.00054217
0.3881552621,0.00011796
0.3921568627,-0.00038494
0.3961584634,0.00050867
0.400160064,-0.0012367
0.4041616647,-0.0056692
0.4081632653,-0.0053426
0.4121648659,0.0002267
0.4161664666,0.0042883
0.4201680672,0.0060576
0.4241696679,0.0068609
0.4281712685,0.0048547
0.4321728691,-8.87E-05
0.4361744698,-0.0053526
0.4401760704,-0.0073428
0.4441776711,-0.0044036
0.4481792717,0.00076377
0.4521808723,0.0034278
0.456182473,0.0024814
0.4601840736,0.00072149
0.4641856743,-0.0018783
0.4681872749,-0.004651
0.4721888756,-0.0022012
0.4761904762,0.0029813
0.4801920768,0.003252
0.4841936775,0.0021724
0.4881952781,0.0031497
0.4921968788,0.00024842
0.4961984794,-0.0037082
0.50020008,-0.0011732
0.5042016807,0.00059751
0.5082032813,-0.0026276
0.512204882,-0.00045469
0.5162064826,0.0044447
0.5202080832,0.0012272
0.5242096839,-0.0024841
0.5282112845,0.00065407
0.5322128852,0.0014412
0.5362144858,-0.0037872
0.5402160864,-0.0058759
0.5442176871,-0.001656
0.5482192877,0.0026438
0.5522208884,0.0036754
0.556222489,0.003459
0.5602240896,0.0037444
0.5642256903,0.0019373
0.5682272909,-0.0026252
0.5722288916,-0.0032798
0.5762304922,0.00052516
0.5802320928,-0.000435
0.5842336935,-0.0048678
